"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"1","(Intercept)",0.21,4.0660060310331,-0.383915007676159,0.701,0,615.153,"fvc_crude"
"2","li_ln",0.747,0.244739206489018,-1.1912550405333,0.234,0.462,1.208,"fvc_crude"
"3","mg_ln",0.957,0.234469754437781,-0.187752449061615,0.851,0.604,1.516,"fvc_crude"
"4","ca_ln",1.062,0.308554746582336,0.195795807203011,0.845,0.58,1.947,"fvc_crude"
"5","v_ln",1.044,0.199183388890828,0.214260514597911,0.83,0.706,1.543,"fvc_crude"
"6","cr_ln",0.809,0.272946353116735,-0.775636929111082,0.438,0.474,1.383,"fvc_crude"
"7","mn_ln",1.128,0.220739985238993,0.547089716984207,0.584,0.732,1.74,"fvc_crude"
"8","fe_ln",1.455,0.205940537442436,1.81928900374861,0.069,0.971,2.179,"fvc_crude"
"9","co_ln",1.101,0.20105910201439,0.477671455797567,0.633,0.742,1.634,"fvc_crude"
"10","ni_ln",0.802,0.288173051422312,-0.767448979789275,0.443,0.455,1.411,"fvc_crude"
"11","cu_ln",1.16,0.232850351133238,0.637470963894605,0.524,0.734,1.832,"fvc_crude"
"12","zn_ln",0.928,0.269892007313179,-0.277527474389078,0.781,0.546,1.576,"fvc_crude"
"13","as_ln",1.324,0.104592101673398,2.68659950681578,0.007,1.079,1.626,"fvc_crude"
"14","br_ln",1.087,0.243438938104,0.343856266716319,0.731,0.674,1.754,"fvc_crude"
"15","se_ln",0.953,0.305181501146938,-0.157429923322697,0.875,0.524,1.735,"fvc_crude"
"16","sr_ln",0.766,0.393432010433563,-0.677442242653618,0.498,0.354,1.658,"fvc_crude"
"17","mo_ln",1.214,0.194549364954632,0.995929670726923,0.32,0.828,1.778,"fvc_crude"
"18","cd_ln",1.368,0.194265954986897,1.61136704318259,0.108,0.934,2.003,"fvc_crude"
"19","sn_ln",1.128,0.103451173864321,1.16656420763051,0.244,0.921,1.382,"fvc_crude"
"20","sb_ln",0.709,0.443597627614335,-0.775664777617818,0.438,0.297,1.694,"fvc_crude"
"21","cs_ln",0.612,0.365701103055372,-1.3410987373987,0.18,0.299,1.256,"fvc_crude"
"22","ba_ln",1.088,0.283408971487669,0.295995658768822,0.767,0.623,1.897,"fvc_crude"
"23","w_ln",1.333,0.181394572606501,1.58431470932246,0.114,0.934,1.903,"fvc_crude"
"24","tl_ln",0.675,0.234672864476403,-1.67237085686469,0.095,0.426,1.071,"fvc_crude"
"25","pb_ln",0.772,0.21481162318592,-1.20708506509863,0.228,0.506,1.176,"fvc_crude"
"26","age",1.004,0.00939536479002729,0.465088308000254,0.642,0.986,1.023,"fvc_crude"
"27","male",1.152,0.275791404700477,0.511640108238119,0.609,0.67,1.979,"fvc_crude"
"28","tobaco1",0.605,0.337766266707012,-1.48766201893311,0.137,0.312,1.174,"fvc_crude"
"29","BMIscore",1.001,0.0002647502713196,5.07888588751053,0,1.001,1.002,"fvc_crude"
"30","(Intercept)",7.761,3.41751709441951,0.599587437173207,0.549,0.009,6361.254,"fev1_crude"
"31","li_ln",0.604,0.193852235645517,-2.60403358599895,0.009,0.413,0.883,"fev1_crude"
"32","mg_ln",0.982,0.211840338740057,-0.0850105621745627,0.932,0.648,1.489,"fev1_crude"
"33","ca_ln",0.826,0.2568152816768,-0.74586583799158,0.456,0.499,1.367,"fev1_crude"
"34","v_ln",1.076,0.136012938567904,0.539926082796311,0.589,0.824,1.406,"fev1_crude"
"35","cr_ln",0.83,0.236724636213293,-0.788719160463096,0.431,0.521,1.32,"fev1_crude"
"36","mn_ln",1.089,0.20086318909488,0.426326987347156,0.67,0.734,1.616,"fev1_crude"
"37","fe_ln",1.305,0.162880452363651,1.63295960496129,0.103,0.948,1.796,"fev1_crude"
"38","co_ln",1.004,0.177501216008012,0.0214553755371859,0.983,0.708,1.422,"fev1_crude"
"39","ni_ln",0.82,0.225214355531001,-0.880345736229389,0.379,0.527,1.276,"fev1_crude"
"40","cu_ln",1.248,0.20679202697984,1.07288167568971,0.284,0.832,1.874,"fev1_crude"
"41","zn_ln",0.913,0.216225964641004,-0.420396952506209,0.674,0.597,1.396,"fev1_crude"
"42","as_ln",1.138,0.0867918497334878,1.48626665492212,0.138,0.959,1.349,"fev1_crude"
"43","br_ln",0.758,0.226333519404224,-1.22377023896424,0.221,0.486,1.182,"fev1_crude"
"44","se_ln",0.885,0.257293555266509,-0.473698909827422,0.636,0.534,1.467,"fev1_crude"
"45","sr_ln",1.57,0.295267618844732,1.52846100383902,0.127,0.88,2.804,"fev1_crude"
"46","mo_ln",1.26,0.162489898086447,1.42470245920067,0.155,0.916,1.734,"fev1_crude"
"47","cd_ln",1.327,0.160242902947841,1.76509880848456,0.078,0.969,1.817,"fev1_crude"
"48","sn_ln",1.156,0.0849691431584221,1.7010173238651,0.089,0.978,1.365,"fev1_crude"
"49","sb_ln",1.168,0.364434508328138,0.427113254251692,0.669,0.571,2.389,"fev1_crude"
"50","cs_ln",0.827,0.318880820207091,-0.596257666465296,0.551,0.442,1.546,"fev1_crude"
"51","ba_ln",0.894,0.2291149959506,-0.491452229530529,0.623,0.57,1.401,"fev1_crude"
"52","w_ln",1.03,0.155592763708047,0.192460240826539,0.847,0.759,1.398,"fev1_crude"
"53","tl_ln",0.916,0.178379860827226,-0.494606103370188,0.621,0.645,1.299,"fev1_crude"
"54","pb_ln",0.853,0.1585566994455,-1.00191444993999,0.317,0.625,1.165,"fev1_crude"
"55","age",0.996,0.00808662140038944,-0.55127881973794,0.582,0.98,1.011,"fev1_crude"
"56","male",1.243,0.238627300144447,0.913154831178671,0.361,0.778,1.986,"fev1_crude"
"57","tobaco1",0.773,0.267836736243515,-0.959132894686809,0.338,0.457,1.309,"fev1_crude"
"58","BMIscore",1.001,0.000226013759365355,4.54100449626311,0,1.001,1.001,"fev1_crude"
"59","(Intercept)",7.298,6.27723439383708,0.316637888216751,0.752,0,1649266.329,"ff_crude"
"60","li_ln",0.668,0.342591482838256,-1.1787748894296,0.239,0.341,1.309,"ff_crude"
"61","mg_ln",1.175,0.344228162161965,0.46954596853725,0.639,0.598,2.311,"ff_crude"
"62","ca_ln",0.671,0.469496382225692,-0.848396664894274,0.397,0.267,1.688,"ff_crude"
"63","v_ln",1.199,0.20847445585583,0.870175109738934,0.385,0.796,1.806,"ff_crude"
"64","cr_ln",1.137,0.428458171794565,0.300575868217023,0.764,0.49,2.639,"ff_crude"
"65","mn_ln",0.656,0.337264126159167,-1.25075876965794,0.212,0.338,1.272,"ff_crude"
"66","fe_ln",1.101,0.217266683800077,0.442528409428886,0.658,0.719,1.687,"ff_crude"
"67","co_ln",1.379,0.241384085613163,1.3310849158793,0.184,0.858,2.215,"ff_crude"
"68","ni_ln",0.791,0.398110539461784,-0.587569969484179,0.557,0.362,1.73,"ff_crude"
"69","cu_ln",0.668,0.421799602537955,-0.957360349599712,0.339,0.292,1.529,"ff_crude"
"70","zn_ln",0.93,0.320296004399291,-0.225640387995753,0.822,0.496,1.745,"ff_crude"
"71","as_ln",0.753,0.147192056727779,-1.92881991598768,0.054,0.564,1.005,"ff_crude"
"72","br_ln",1.358,0.414300774326489,0.738212290412563,0.461,0.602,3.063,"ff_crude"
"73","se_ln",1.222,0.434221027645834,0.462440036784367,0.644,0.521,2.868,"ff_crude"
"74","sr_ln",1.446,0.548717011850288,0.672035673351333,0.502,0.492,4.248,"ff_crude"
"75","mo_ln",1.124,0.270169886030791,0.43247081009093,0.666,0.661,1.911,"ff_crude"
"76","cd_ln",1.002,0.278353582604326,0.0082051406481913,0.993,0.58,1.731,"ff_crude"
"77","sn_ln",0.94,0.142646125759642,-0.430177959844354,0.667,0.711,1.245,"ff_crude"
"78","sb_ln",1.146,0.6071635001155,0.225156933374623,0.822,0.348,3.778,"ff_crude"
"79","cs_ln",0.445,0.631056069786502,-1.28442592987126,0.199,0.129,1.535,"ff_crude"
"80","ba_ln",0.96,0.392568865033218,-0.104453572342246,0.917,0.444,2.075,"ff_crude"
"81","w_ln",1.199,0.268574023635552,0.675026538849106,0.5,0.707,2.031,"ff_crude"
"82","tl_ln",1.457,0.319704037720004,1.17767998314162,0.239,0.778,2.73,"ff_crude"
"83","pb_ln",2.519,0.273364499077921,3.37888613447688,0.001,1.472,4.308,"ff_crude"
"84","age",1.014,0.0148977171834688,0.915226599779844,0.36,0.984,1.044,"ff_crude"
"85","male",1.03,0.389845369652123,0.075654848117353,0.94,0.479,2.215,"ff_crude"
"86","tobaco1",1.382,0.436254931799812,0.74096350525885,0.459,0.587,3.254,"ff_crude"
"87","BMIscore",0.952,0.0405628542913733,-1.21385184722437,0.225,0.879,1.031,"ff_crude"
"88","(Intercept)",36974.432,5.26012637702094,1.99956829390744,0.046,1.206,1133588790.892,"fef_crude"
"89","li_ln",0.734,0.289108370868412,-1.06961389745598,0.285,0.416,1.295,"fef_crude"
"90","mg_ln",0.823,0.288554512368611,-0.673870198437647,0.501,0.467,1.451,"fef_crude"
"91","ca_ln",0.504,0.426748905484675,-1.60384339342952,0.109,0.218,1.166,"fef_crude"
"92","v_ln",0.942,0.20290622365384,-0.294426923101425,0.769,0.632,1.403,"fef_crude"
"93","cr_ln",0.802,0.447480766648215,-0.494301653426756,0.621,0.333,1.93,"fef_crude"
"94","mn_ln",1.236,0.318004360590788,0.665062135856005,0.506,0.662,2.307,"fef_crude"
"95","fe_ln",1.393,0.230527352837907,1.43854426513039,0.151,0.886,2.191,"fef_crude"
"96","co_ln",0.627,0.2766477804776,-1.68943060572618,0.092,0.364,1.079,"fef_crude"
"97","ni_ln",0.886,0.371936600801595,-0.324648689772815,0.746,0.427,1.84,"fef_crude"
"98","cu_ln",1.041,0.347819711252997,0.114173030990488,0.909,0.526,2.06,"fef_crude"
"99","zn_ln",1.205,0.281380008789313,0.662407930839356,0.508,0.693,2.094,"fef_crude"
"100","as_ln",1.046,0.133604757744859,0.336230765151981,0.737,0.805,1.36,"fef_crude"
"101","br_ln",0.754,0.40712998405677,-0.692363480068432,0.489,0.339,1.678,"fef_crude"
"102","se_ln",1.305,0.440044655043671,0.605087737566245,0.545,0.55,3.097,"fef_crude"
"103","sr_ln",2.631,0.490295980075985,1.97313368898755,0.049,1.005,6.892,"fef_crude"
"104","mo_ln",0.832,0.263472468087804,-0.698827780671747,0.485,0.496,1.396,"fef_crude"
"105","cd_ln",2.027,0.27637070313857,2.55721763502153,0.011,1.178,3.489,"fef_crude"
"106","sn_ln",1.112,0.130631499214332,0.815161961820084,0.415,0.861,1.438,"fef_crude"
"107","sb_ln",1.308,0.595877316104263,0.451138496991785,0.652,0.406,4.217,"fef_crude"
"108","cs_ln",0.437,0.551961610083554,-1.49856780297525,0.135,0.148,1.293,"fef_crude"
"109","ba_ln",0.919,0.390892126271143,-0.214903253052122,0.83,0.427,1.981,"fef_crude"
"110","w_ln",1.196,0.279955728469877,0.640332206211789,0.522,0.69,2.073,"fef_crude"
"111","tl_ln",1.036,0.264748391308593,0.13506513337825,0.893,0.616,1.743,"fef_crude"
"112","pb_ln",1.181,0.27130312236885,0.61404442104807,0.539,0.693,2.013,"fef_crude"
"113","age",0.939,0.013892104248385,-4.53383304031515,0,0.914,0.965,"fef_crude"
"114","male",0.682,0.409884474070007,-0.934484175031009,0.35,0.305,1.525,"fef_crude"
"115","tobaco1",0.908,0.405749699048805,-0.238570520500918,0.812,0.409,2.014,"fef_crude"
"116","BMIscore",0.946,0.0321206351966202,-1.71324061989052,0.087,0.889,1.008,"fef_crude"
