"","term","OR","CI_low","CI_high","p"
"wqs...1","WQS+",1.61,0.93,2.77,0.089
"age...2","Age",1.01,0.99,1.03,0.356
"male...3","Sex (=1 male)",1.53,0.8,2.94,0.202
"BMIscore...4","BMI score",1.01,0.96,1.05,0.804
"tobaco1...5","Smoking status",0.73,0.3,1.77,0.489
"wqs...6","WQS+",1.49,0.95,2.35,0.082
"age...7","Age",0.99,0.98,1.01,0.457
"male...8","Sex (=1 male)",1.39,0.79,2.45,0.247
"BMIscore...9","BMI score",0.99,0.95,1.03,0.483
"tobaco1...10","Smoking status",1.06,0.54,2.1,0.858
"wqs...11","WQS",1.39,0.75,2.58,0.292
"age...12","Age",1.01,0.98,1.04,0.442
"male...13","Sex (=1 male)",1.02,0.38,2.72,0.969
"BMIscore...14","BMI score",0.94,0.87,1.02,0.125
"tobaco1...15","Smoking status",1.47,0.49,4.36,0.491
"wqs...16","WQS+",1.58,0.97,2.58,0.068
"age...17","Age***",0.95,0.93,0.98,0
"male...18","Sex (=1 male)+",0.49,0.21,1.14,0.099
"BMIscore...19","BMI score*",0.93,0.87,0.99,0.021
"tobaco1...20","Smoking status",1.44,0.6,3.47,0.412
