"","term","estimate","std.error","statistic","p.value","OR","CI_low","CI_high"
"1","age",0.0127008698855358,0.00873310952075699,1.45433534932182,0.145853354532985,1.01278186848778,0.995593711525072,1.03026676571346
"2","male",0.147631226431045,0.278783388719105,0.529555319308476,0.596420279998258,1.15908537748761,0.671135506397137,2.00179978484196
"3","tobaco1",-0.329353848087212,0.350364619632854,-0.940031697356718,0.347201301995256,0.71938841748951,0.362015408709062,1.42955156815983
"4","BMIscore",0.00141898092866369,0.00268301748824809,0.528875020337726,0.596892151473317,1.00141998815846,0.996167629001622,1.00670004072342
"5","age",NA,NA,NA,0.829299008422727,0.998302508649001,0.983002382201178,1.01384077680793
"6","male",NA,NA,NA,0.424099883650224,1.21012628353596,0.758097465218448,1.93168515829634
"7","tobaco1",NA,NA,NA,0.562623230945498,0.845821306101984,0.479826925105708,1.49098277821416
"8","BMIscore",NA,NA,NA,0.417090981860635,1.00103349425459,0.998539073052955,1.00353414669673
"9","age",NA,NA,NA,0.829299008422727,0.998302508649001,0.983002382201178,1.01384077680793
"10","male",NA,NA,NA,0.424099883650224,1.21012628353596,0.758097465218448,1.93168515829634
"11","tobaco1",NA,NA,NA,0.562623230945498,0.845821306101984,0.479826925105708,1.49098277821416
"12","BMIscore",NA,NA,NA,0.417090981860635,1.00103349425459,0.998539073052955,1.00353414669673
"13","age",NA,NA,NA,0.000362718161698588,0.952665956897259,0.927609311474444,0.978399434119926
"14","male",NA,NA,NA,0.539682428417733,0.790239173446758,0.372399530786281,1.67690316346881
"15","tobaco1",NA,NA,NA,0.572282364169213,1.26034567664548,0.564545581809944,2.81371651080198
"16","BMIscore",NA,NA,NA,0.0070964536246525,0.92274878981013,0.87029008346426,0.978369563521547
