"","term","estimate","std.error","statistic","p.value","OR","CI_low","CI_high"
"1","tl_ln",-0.777843383361613,0.263423058672194,-2.95282951797157,0.00314875806621221,0.459395684125196,0.274130069683097,0.769869554393763
"2","age",-0.0355837960457992,0.0205555656088899,-1.73110274476757,0.0834334409157271,0.965041864149505,0.926934193472204,1.00471619897047
"3","male",0.534578609595917,0.572077177764054,0.93445190679569,0.350070833086785,1.70672889152385,0.556163669290794,5.23752929218968
"4","tobaco1",-1.75329712529617,1.10337592510242,-1.58902970910247,0.112053685533014,0.173201932499763,0.0199223325360628,1.50579302736511
"5","BMIscore",0.026389622404235,0.0319592376394117,0.825727531488163,0.40895867095108,1.02674091181363,0.964398697391691,1.0931131521051
"6","tl_ln",NA,NA,NA,0.0194438997668221,0.659217146125317,0.464777449405252,0.93500071120425
"7","age",NA,NA,NA,0.241316577286495,0.982410179161024,0.953675213671369,1.01201095119556
"8","male",NA,NA,NA,0.685027949369649,1.19789538278216,0.500590374659514,2.8665220522205
"9","tobaco1",NA,NA,NA,0.163502914438874,0.382499553270117,0.0989785095310738,1.4781583289644
"10","BMIscore",NA,NA,NA,0.587871602723271,1.01465265789727,0.962651179919093,1.06946320500487
"11","tl_ln",NA,NA,NA,0.0194438997668221,0.659217146125317,0.464777449405252,0.93500071120425
"12","age",NA,NA,NA,0.241316577286495,0.982410179161024,0.953675213671369,1.01201095119556
"13","male",NA,NA,NA,0.685027949369649,1.19789538278216,0.500590374659514,2.8665220522205
"14","tobaco1",NA,NA,NA,0.163502914438874,0.382499553270117,0.0989785095310738,1.4781583289644
"15","BMIscore",NA,NA,NA,0.587871602723271,1.01465265789727,0.962651179919093,1.06946320500487
"16","tl_ln",NA,NA,NA,0.528233944967685,0.83006345290457,0.4653058575161,1.48075792453143
"17","age",NA,NA,NA,0.0229008292173902,0.936968497303811,0.885861628841902,0.991023808184878
"18","male",NA,NA,NA,0.305616599447477,0.392404801137808,0.065534184147312,2.34963675766334
"19","tobaco1",NA,NA,NA,0.990051524902577,6.22143494384807e-08,0,Inf
"20","BMIscore",NA,NA,NA,0.164172209537552,1.05861828771978,0.97697746410013,1.14708140184891
