"","term","OR","CI_low","CI_high","p"
"wqs...1","WQS**",3.82,1.48,9.82,0.005
"age...2","Age+",0.96,0.92,1,0.059
"male...3","Sex (=1 male)",0.79,0.22,2.92,0.727
"BMIscore...4","BMI score",1.03,0.96,1.11,0.442
"tobaco1...5","Smoking status",0,0,Inf,0.992
"wqs...6","WQS+",1.981,0.992,3.953,0.053
"age...7","Age",0.998,0.965,1.033,0.931
"male...8","Sex (=1 male)",1.024,0.368,2.846,0.964
"BMIscore...9","BMI score",1.001,0.943,1.064,0.961
"tobaco1...10","Smoking status",1.017,0.245,4.222,0.981
"wqs...11","WQS",3.63,0.59,22.27,0.164
"age...12","Age",1.06,0.98,1.15,0.147
"male...13","Sex (=1 male)",0.91,0.13,6.42,0.922
"BMIscore...14","BMI score",1.06,0.94,1.2,0.348
"tobaco1...15","Smoking status",0,0,Inf,0.995
"wqs...16","WQS*",9.68,1.69,55.29,0.011
"age...17","Age+",0.94,0.87,1.01,0.096
"male...18","Sex (=1 male)",0.27,0.02,3.12,0.296
"BMIscore...19","BMI score",1.05,0.96,1.14,0.317
"tobaco1...20","Smoking status",0,0,Inf,0.993
